source,n_files,n_cadences,f_min_mhz,f_max_mhz,bandwidth_mhz
TIC103633434_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC125442121_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC127425841_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC138588540_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC142387023_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC147576037_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC148782377_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC149577217_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC153949511_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC154716798_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC154741689_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC154867950_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC154867950_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC154872375_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC154872375_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC154927364_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC156199502_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC156724719_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC158075010_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC15863518_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC160077104_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC160162987_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC160162987_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC174041208_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC174041208_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC174302697_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC174302697_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC176860064_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC176860064_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC176860064_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC176899385_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC176899385_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC186599508_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC186812530_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC190998418_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC194203348_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
