freq_mhz,probability,center_channel
18167.37403869629,0.971,29112320
18150.465393066406,0.965,23060480
18182.766342163086,0.962,34621440
18166.407012939453,0.958,28766208
18150.471115112305,0.952,23062528
18260.580444335938,0.951,62472192
18182.89794921875,0.943,34668544
18147.535705566406,0.941,22011904
18167.95768737793,0.94,29321216
18137.23602294922,0.939,18325504
18260.437393188477,0.939,62420992
18154.127502441406,0.938,24371200
18121.248626708984,0.935,12603392
18131.55403137207,0.934,16291840
18257.633590698242,0.931,61417472
18157.389068603516,0.93,25538560
18202.650451660156,0.926,41738240
18260.431671142578,0.925,62418944
18185.884857177734,0.922,35737600
18133.224868774414,0.921,16889856
18182.989501953125,0.92,34701312
18122.009658813477,0.918,12875776
18202.644729614258,0.918,41736192
18147.879028320312,0.915,22134784
18254.137420654297,0.913,60166144
18101.032638549805,0.91,5367808
18122.015380859375,0.91,12877824
18235.655212402344,0.909,53551104
18133.413696289062,0.908,16957440
18111.978912353516,0.905,9285632
18166.41273498535,0.905,28768256
18212.92724609375,0.9,45416448
18147.541427612305,0.897,22013952
18100.363159179688,0.895,5128192
18111.984634399414,0.893,9287680
18141.029739379883,0.889,19683328
18182.772064208984,0.884,34623488
18203.125381469727,0.879,41908224
18206.5185546875,0.876,43122688
18124.74479675293,0.862,13854720
18115.932846069336,0.86,10700800
18155.952835083008,0.86,25024512
18142.340087890625,0.859,20152320
18167.322540283203,0.858,29093888
18181.484603881836,0.856,34162688
18191.040420532227,0.854,37582848
18162.39585876465,0.852,27330560
18121.254348754883,0.849,12605440
18133.230590820312,0.849,16891904
18141.853713989258,0.849,19978240
18198.524856567383,0.847,40261632
18161.674880981445,0.846,27072512
18187.704467773438,0.845,36388864
18127.548599243164,0.839,14858240
18224.966430664062,0.839,49725440
18149.309539794922,0.837,22646784
18127.542877197266,0.835,14856192
18242.55599975586,0.835,56020992
18155.958557128906,0.834,25026560
18167.316818237305,0.832,29091840
18181.478881835938,0.832,34160640
18124.750518798828,0.829,13856768
18138.91258239746,0.829,18925568
18138.906860351562,0.826,18923520
18211.410903930664,0.821,44873728
18183.161163330078,0.82,34762752
18201.311492919922,0.818,41259008
18141.859436035156,0.814,19980288
18147.089385986328,0.814,21852160
18212.789916992188,0.814,45367296
18178.989791870117,0.813,33269760
18170.12062072754,0.81,30095360
18178.411865234375,0.81,33062912
18151.03187561035,0.809,23263232
18254.143142700195,0.809,60168192
18162.401580810547,0.808,27332608
18131.548309326172,0.806,16289792
18187.160873413086,0.806,36194304
18120.184326171875,0.805,12222464
18198.53057861328,0.801,40263680
18147.352600097656,0.798,21946368
18154.63104248047,0.797,24551424
18167.276763916016,0.797,29077504
18190.193557739258,0.793,37279744
18235.386276245117,0.792,53454848
18170.463943481445,0.791,30218240
18147.88475036621,0.788,22136832
18170.11489868164,0.787,30093312
18264.940643310547,0.781,64032768
18098.08578491211,0.776,4313088
18121.860885620117,0.772,12822528
18139.61067199707,0.765,19175424
18271.103286743164,0.765,66238464
18152.61688232422,0.763,23830528
18142.7978515625,0.762,20316160
18134.432220458984,0.761,17321984
18137.241744995117,0.758,18327552
18239.832305908203,0.758,55046144
18266.594314575195,0.757,64624640
18125.872039794922,0.756,14258176
18197.32322692871,0.756,39831552
18169.41680908203,0.754,29843456
18157.99560546875,0.747,25755648
18168.890380859375,0.743,29655040
18179.922485351562,0.741,33603584
18231.523895263672,0.738,52072448
18165.949249267578,0.732,28602368
18168.02635192871,0.732,29345792
18206.089401245117,0.728,42969088
18121.345901489258,0.727,12638208
18180.569076538086,0.727,33835008
18173.81134033203,0.726,31416320
18184.03663635254,0.723,35076096
18142.534637451172,0.722,20221952
18144.199752807617,0.722,20817920
18178.417587280273,0.715,33064960
18248.30665588379,0.713,58079232
18182.079696655273,0.711,34375680
18178.165817260742,0.71,32974848
18208.269500732422,0.709,43749376
18135.347747802734,0.707,17649664
18146.56867980957,0.704,21665792
18233.69255065918,0.703,52848640
18174.829864501953,0.701,31780864
