target,n_snippets,n_detections,top_freq_mhz,top_probability,status
TIC174041208,0,0,,,error: all input arrays must have the same shape
TIC148782377,32764,2,18124.74479675293,0.754,success
TIC333473672,32764,22,18448.649978637695,0.94,success
TIC53875855,32764,31,18171.625518798828,0.991,success
TIC378291076,32764,12,18445.81184387207,0.945,success
TIC103633434,32764,14,18165.439987182617,0.881,success
TIC264678534,32764,9,18445.81184387207,0.905,success
TIC85242435,32764,17,18273.186111450195,0.926,success
TIC176899385,32764,11,18374.40071105957,0.892,success
TIC149577217,32764,15,18105.77621459961,0.885,success
TIC176860064,32764,3,18445.81184387207,0.958,success
TIC27677846,32764,15,18141.48178100586,0.916,success
TIC275111900,32764,12,18424.451446533203,0.929,success
TIC147576037,32764,124,18167.37403869629,0.971,success
TIC174302697,32764,14,18288.541412353516,0.86,success
TIC96291218,32764,18,18210.684204101562,0.921,success
TIC154867950,32764,29,18288.541412353516,0.954,success
TIC142387023,32764,34,18273.186111450195,0.974,success
TIC186812530,32764,10,18108.63151550293,0.901,success
TIC154872375,32764,3,18445.81184387207,0.823,success
TIC160162987,0,0,,,error: all input arrays must have the same shape
TIC310981412,32764,2,18165.439987182617,0.722,success
TIC328933398,32764,20,18375.653839111328,0.91,success
TIC138588540,32764,18,18249.742889404297,0.932,success
TIC417705690,32764,18,18321.723556518555,0.892,success
TIC158075010,32764,41,18273.186111450195,0.948,success
TIC427730490,32764,6,18321.723556518555,0.912,success
TIC176860064,32764,16,18144.245529174805,0.883,success
TIC154716798,32764,2,18332.789993286133,0.761,success
TIC428679607,0,0,,,error: all input arrays must have the same shape
TIC422923265,32764,12,18154.379272460938,0.905,success
TIC264678534,0,0,,,error: all input arrays must have the same shape
TIC15863518,0,0,,,error: all input arrays must have the same shape
TIC154927364,0,0,,,error: all input arrays must have the same shape
TIC378355116,32764,10,18445.81756591797,0.908,success
TIC459837008,32764,6,18443.39141845703,0.877,success
TIC428787891,0,0,,,error: all input arrays must have the same shape
TIC367607434,32764,24,18299.602127075195,0.932,success
TIC288391628,32764,13,18445.81756591797,0.821,success
TIC366074069,32764,7,18310.662841796875,0.833,success
TIC345143460,0,0,,,error: all input arrays must have the same shape
TIC156199502,32764,17,18445.81756591797,0.95,success
TIC27491137,32764,23,18325.494384765625,0.91,success
TIC317507345,0,0,,,error: all input arrays must have the same shape
TIC27491137,32764,24,18336.492156982422,0.882,success
TIC317507345,0,0,,,error: all input arrays must have the same shape
