freq_mhz,probability,center_channel
6906.947326660156,0.997,52224000
6911.5020751953125,0.997,53854208
6912.726593017578,0.997,54292480
6914.111328125,0.997,54788096
6917.504501342773,0.997,56002560
6920.485687255859,0.997,57069568
6925.761413574219,0.997,58957824
6926.505279541016,0.997,59224064
6877.215576171875,0.996,41582592
6882.897567749023,0.996,43616256
6883.509826660156,0.996,43835392
6887.000274658203,0.996,45084672
6918.700408935547,0.996,56430592
6919.135284423828,0.996,56586240
6919.541549682617,0.996,56731648
6920.159530639648,0.996,56952832
6920.823287963867,0.996,57190400
6922.665786743164,0.996,57849856
6927.237701416016,0.996,59486208
6927.363586425781,0.996,59531264
6932.71369934082,0.996,61446144
6933.085632324219,0.996,61579264
6861.903381347656,0.995,36102144
6874.812316894531,0.995,40722432
6877.341461181641,0.995,41627648
6882.0220947265625,0.995,43302912
6882.422637939453,0.995,43446272
6882.857513427734,0.995,43601920
6883.635711669922,0.995,43880448
6884.511184692383,0.995,44193792
6886.994552612305,0.995,45082624
6909.539413452148,0.995,53151744
6913.190078735352,0.995,54458368
6914.197158813477,0.995,54818816
6915.604782104492,0.995,55322624
6915.656280517578,0.995,55341056
6916.526031494141,0.995,55652352
6917.098236083984,0.995,55857152
6918.729019165039,0.995,56440832
6921.384048461914,0.995,57391104
6922.660064697266,0.995,57847808
6924.834442138672,0.995,58626048
6926.511001586914,0.995,59226112
6927.420806884766,0.995,59551744
6933.114242553711,0.995,61589504
6872.426223754883,0.994,39868416
6875.670623779297,0.994,41029632
6875.848007202148,0.994,41093120
6882.594299316406,0.994,43507712
6882.863235473633,0.994,43603968
6882.87467956543,0.994,43608064
6883.24089050293,0.994,43739136
6883.629989624023,0.994,43878400
6883.64143371582,0.994,43882496
6884.7686767578125,0.994,44285952
6909.4879150390625,0.994,53133312
6911.124420166016,0.994,53719040
6916.022491455078,0.994,55472128
6916.651916503906,0.994,55697408
6916.669082641602,0.994,55703552
6917.006683349609,0.994,55824384
6917.241287231445,0.994,55908352
6919.535827636719,0.994,56729600
6920.685958862305,0.994,57141248
6928.239059448242,0.994,59844608
6928.857040405273,0.994,60065792
6931.437683105469,0.994,60989440
6932.730865478516,0.994,61452288
6933.709335327148,0.994,61802496
6875.664901733398,0.993,41027584
6875.676345825195,0.993,41031680
6875.84228515625,0.993,41091072
6875.939559936523,0.993,41125888
6875.973892211914,0.993,41138176
6876.3916015625,0.993,41287680
6876.50032043457,0.993,41326592
6876.517486572266,0.993,41332736
6876.637649536133,0.993,41375744
6877.221298217773,0.993,41584640
6877.335739135742,0.993,41625600
6878.14826965332,0.993,41916416
6881.924819946289,0.993,43268096
6882.1136474609375,0.993,43335680
6883.315277099609,0.993,43765760
6884.465408325195,0.993,44177408
6884.671401977539,0.993,44251136
6884.6771240234375,0.993,44253184
6914.574813842773,0.993,54953984
6915.1641845703125,0.993,55164928
6917.355728149414,0.993,55949312
6918.145370483398,0.993,56231936
6919.661712646484,0.993,56774656
6920.434188842773,0.993,57051136
6921.017837524414,0.993,57260032
6921.0235595703125,0.993,57262080
6923.329544067383,0.993,58087424
6923.655700683594,0.993,58204160
6923.850250244141,0.993,58273792
6925.566864013672,0.993,58888192
6926.024627685547,0.993,59052032
6927.294921875,0.993,59506688
6928.822708129883,0.993,60053504
6935.002517700195,0.993,62265344
6851.466369628906,0.992,32366592
6875.716400146484,0.992,41046016
6875.756454467773,0.992,41060352
6876.643371582031,0.992,41377792
6876.992416381836,0.992,41502720
6882.720184326172,0.992,43552768
6883.710098266602,0.992,43907072
6883.858871459961,0.992,43960320
6884.642791748047,0.992,44240896
6886.988830566406,0.992,45080576
6909.482192993164,0.992,53131264
6913.556289672852,0.992,54589440
6913.56201171875,0.992,54591488
6913.739395141602,0.992,54654976
6913.871002197266,0.992,54702080
6914.483261108398,0.992,54921216
6917.121124267578,0.992,55865344
6917.842102050781,0.992,56123392
6918.574523925781,0.992,56385536
6919.049453735352,0.992,56555520
6920.039367675781,0.992,56909824
6921.046447753906,0.992,57270272
6921.658706665039,0.992,57489408
6923.260879516602,0.992,58062848
6923.2666015625,0.992,58064896
6923.661422729492,0.992,58206208
6926.167678833008,0.992,59103232
6928.719711303711,0.992,60016640
6928.794097900391,0.992,60043264
6931.21452331543,0.992,60909568
6931.443405151367,0.992,60991488
6931.494903564453,0.992,61009920
6932.959747314453,0.992,61534208
6933.406066894531,0.992,61693952
6873.421859741211,0.991,40224768
6875.207138061523,0.991,40863744
6875.235748291016,0.991,40873984
6875.9796142578125,0.991,41140224
6876.414489746094,0.991,41295872
6876.774978637695,0.991,41424896
6877.021026611328,0.991,41512960
6881.644439697266,0.991,43167744
6882.073593139648,0.991,43321344
6883.292388916016,0.991,43757568
6883.658599853516,0.991,43888640
6883.704376220703,0.991,43905024
6883.847427368164,0.991,43956224
6883.887481689453,0.991,43970560
6884.471130371094,0.991,44179456
6884.482574462891,0.991,44183552
6887.005996704102,0.991,45086720
6908.286285400391,0.991,52703232
6908.292007446289,0.991,52705280
6911.822509765625,0.991,53968896
6911.936950683594,0.991,54009856
6911.942672729492,0.991,54011904
6913.230133056641,0.991,54472704
6916.989517211914,0.991,55818240
6917.218399047852,0.991,55900160
6917.510223388672,0.991,56004608
6918.21403503418,0.991,56256512
6918.219757080078,0.991,56258560
6918.849182128906,0.991,56483840
6919.627380371094,0.991,56762368
6921.715927124023,0.991,57509888
6926.282119750977,0.991,59144192
6929.240417480469,0.991,60203008
6934.3902587890625,0.991,62046208
6934.779357910156,0.991,62185472
6872.374725341797,0.99,39849984
6872.883987426758,0.99,40032256
6874.617767333984,0.99,40652800
6875.258636474609,0.99,40882176
6875.790786743164,0.99,41072640
6875.882339477539,0.99,41105408
6875.962448120117,0.99,41134080
6876.065444946289,0.99,41170944
6876.780700683594,0.99,41426944
6876.9866943359375,0.99,41500672
6876.998138427734,0.99,41504768
6877.753448486328,0.99,41775104
6877.764892578125,0.99,41779200
6882.079315185547,0.99,43323392
6882.399749755859,0.99,43438080
6882.851791381836,0.99,43599872
6883.412551879883,0.99,43800576
6883.6700439453125,0.99,43892736
6883.910369873047,0.99,43978752
6883.921813964844,0.99,43982848
6884.488296508789,0.99,44185600
6884.659957885742,0.99,44247040
6884.711456298828,0.99,44265472
6884.728622436523,0.99,44271616
6884.734344482422,0.99,44273664
6886.296463012695,0.99,44832768
6886.336517333984,0.99,44847104
6904.212188720703,0.99,51245056
6906.449508666992,0.99,52045824
6910.786819458008,0.99,53598208
6912.898254394531,0.99,54353920
6913.035583496094,0.99,54403072
6914.082717895508,0.99,54777856
6915.330123901367,0.99,55224320
6915.599060058594,0.99,55320576
6915.662002563477,0.99,55343104
6916.136932373047,0.99,55513088
6917.126846313477,0.99,55867392
6917.132568359375,0.99,55869440
6917.161178588867,0.99,55879680
6917.430114746094,0.99,55975936
6917.441558837891,0.99,55980032
6920.136642456055,0.99,56944640
6921.366882324219,0.99,57384960
6921.504211425781,0.99,57434112
6921.635818481445,0.99,57481216
6923.7701416015625,0.99,58245120
6924.296569824219,0.99,58433536
6924.65705871582,0.99,58562560
6925.944519042969,0.99,59023360
6927.289199829102,0.99,59504640
6927.930068969727,0.99,59734016
6931.3232421875,0.99,60948480
6931.952667236328,0.99,61173760
