freq_mhz,probability,center_channel
6874.892425537109,0.994,40751104
6878.228378295898,0.983,41945088
6880.328369140625,0.978,42696704
6880.534362792969,0.978,42770432
6880.419921875,0.973,42729472
6880.334091186523,0.972,42698752
6880.368423461914,0.972,42711040
6880.339813232422,0.971,42700800
6880.362701416016,0.971,42708992
6880.379867553711,0.97,42715136
6880.397033691406,0.97,42721280
6880.522918701172,0.968,42766336
6880.402755737305,0.966,42723328
6880.385589599609,0.965,42717184
6880.34553527832,0.961,42702848
6880.49430847168,0.954,42756096
6828.086090087891,0.953,23998464
6852.027130126953,0.951,32567296
6880.391311645508,0.949,42719232
6880.3741455078125,0.947,42713088
6880.500030517578,0.946,42758144
6880.517196655273,0.945,42764288
6880.408477783203,0.931,42725376
6937.634658813477,0.914,63207424
6812.630844116211,0.911,18466816
6921.767425537109,0.896,57528320
6880.414199829102,0.893,42727424
6945.42236328125,0.874,65994752
6880.425643920898,0.859,42731520
6880.488586425781,0.828,42754048
6774.9053955078125,0.81,4964352
6765.738677978516,0.799,1683456
6804.791641235352,0.774,15661056
6906.214904785156,0.773,51961856
6906.369400024414,0.749,52017152
6880.454254150391,0.741,42741760
6785.943222045898,0.733,8914944
6773.520660400391,0.73,4468736
6859.259796142578,0.726,35155968
6878.737640380859,0.725,42127360
6867.299270629883,0.724,38033408
6881.192398071289,0.724,43005952
6852.021408081055,0.721,32565248
6937.588882446289,0.714,63191040
6867.974472045898,0.711,38275072
6880.482864379883,0.711,42752000
6921.773147583008,0.71,57530368
6906.146240234375,0.708,51937280
6881.158065795898,0.703,42993664
6847.466659545898,0.702,30935040
6768.365097045898,0.701,2623488
