target,n_snippets,n_detections,top_freq_mhz,top_probability,status
TIC160077104,0,0,,,error: all input arrays must have the same shape
TIC268334473,32764,38,6820.429992675781,1.0,success
TIC459903429,0,0,,,error: all input arrays must have the same shape
TIC367858035,32764,28,6899.954986572266,0.8,success
TIC428988981,32764,2644,6879.487228393555,0.991,success
TIC470852531,32764,11,6828.017425537109,0.969,success
TIC268403451,0,0,,,error: all input arrays must have the same shape
TIC154867950,32764,56,6945.42236328125,1.0,success
TIC317507345,32764,76,6879.533004760742,1.0,success
TIC156724719,0,0,,,error: all input arrays must have the same shape
TIC9392421,32764,44,6880.511474609375,0.99,success
TIC176899385,32764,27,6890.502166748047,0.996,success
TIC264678534,32764,23,6937.640380859375,0.971,success
TIC176860064,32764,31,6882.931900024414,0.985,success
TIC252636888,32764,42,6782.71598815918,0.99,success
TIC328933398,32764,49,6782.71598815918,0.997,success
TIC174041208,32764,40,6853.120040893555,0.993,success
TIC356158613,32764,33,6921.841812133789,0.993,success
TIC154872375,32764,44,6765.744400024414,1.0,success
TIC174302697,32764,32,6853.217315673828,0.967,success
TIC190998418,32764,42,6851.466369628906,0.984,success
TIC194203348,32764,56,6931.494903564453,1.0,success
TIC378291076,32764,51,6782.710266113281,0.994,success
TIC366074069,32764,108,6880.482864379883,1.0,success
TIC125442121,32764,60,6828.017425537109,1.0,success
TIC345143460,32764,53,6878.045272827148,0.997,success
TIC470159478,0,0,,,error: all input arrays must have the same shape
TIC333473672,0,0,,,error: all input arrays must have the same shape
TIC160162987,32764,82,6875.161361694336,0.987,success
TIC432549364,32764,2057,6906.947326660156,0.997,success
TIC9348006,32764,51,6874.892425537109,0.994,success
TIC127425841,0,0,,,error: all input arrays must have the same shape
TIC82452140,32764,80,6880.334091186523,0.993,success
TIC186599508,32764,33,6844.71435546875,0.985,success
TIC427730490,32764,28,6875.344467163086,0.956,success
TIC367630162,32764,73,6863.9404296875,0.997,success
TIC427730490,32764,26,6875.350189208984,0.974,success
TIC367630162,32764,72,6863.9404296875,0.996,success
