freq_mhz,probability,is_eti,center_channel
4786.046600341797,0.903,True,4096
4786.052322387695,0.99,True,6144
4786.086654663086,0.967,True,18432
4786.126708984375,0.916,True,32768
4786.155319213867,0.941,True,43008
4786.229705810547,0.975,True,69632
4786.241149902344,0.964,True,73728
4786.338424682617,0.905,True,108544
4786.372756958008,0.925,True,120832
4786.441421508789,0.939,True,145408
4786.4471435546875,0.915,True,147456
4786.452865600586,0.976,True,149504
4786.458587646484,0.99,True,151552
4786.487197875977,0.973,True,161792
4786.515808105469,0.922,True,172032
4786.521530151367,0.964,True,174080
4786.819076538086,0.949,True,280576
4786.985015869141,0.911,True,339968
4787.1337890625,0.968,True,393216
4787.173843383789,0.976,True,407552
4787.231063842773,0.957,True,428032
4787.236785888672,0.966,True,430080
4787.339782714844,0.955,True,466944
4787.345504760742,0.901,True,468992
4787.414169311523,0.904,True,493568
4787.419891357422,0.961,True,495616
4787.517166137695,0.997,True,530432
4788.776016235352,0.979,True,980992
4788.85612487793,0.951,True,1009664
4789.216613769531,0.954,True,1138688
4789.565658569336,0.933,True,1263616
4789.680099487305,0.917,True,1304576
4790.069198608398,0.961,True,1443840
4790.074920654297,0.974,True,1445888
4790.269470214844,0.947,True,1515520
4790.607070922852,0.961,True,1636352
4790.61279296875,0.962,True,1638400
4790.704345703125,0.976,True,1671168
4791.099166870117,0.976,True,1812480
4791.436767578125,0.941,True,1933312
4792.226409912109,0.991,True,2215936
4793.920135498047,0.957,True,2822144
4793.925857543945,0.967,True,2824192
4793.9544677734375,0.962,True,2834432
4793.960189819336,0.961,True,2836480
4794.372177124023,0.979,True,2983936
4794.4580078125,0.982,True,3014656
4794.709777832031,0.947,True,3104768
4794.887161254883,0.942,True,3168256
4794.904327392578,0.976,True,3174400
4794.93293762207,0.933,True,3184640
4795.018768310547,0.95,True,3215360
4795.178985595703,0.971,True,3272704
4795.356369018555,0.937,True,3336192
4795.556640625,0.947,True,3407872
4795.608139038086,0.97,True,3426304
4795.642471313477,0.917,True,3438592
4795.66535949707,0.992,True,3446784
4795.671081542969,0.949,True,3448832
4795.676803588867,0.946,True,3450880
4795.682525634766,0.919,True,3452928
4795.7855224609375,0.9,True,3489792
4795.819854736328,0.907,True,3502080
4795.825576782227,0.914,True,3504128
4796.014404296875,0.96,True,3571712
4796.123123168945,0.974,True,3610624
4796.3348388671875,0.967,True,3686400
4796.649551391602,0.924,True,3799040
4796.718215942383,0.972,True,3823616
4796.826934814453,0.976,True,3862528
4796.832656860352,0.971,True,3864576
4796.861267089844,0.951,True,3874816
4796.866989135742,0.932,True,3876864
4797.1588134765625,0.962,True,3981312
4797.164535522461,0.971,True,3983360
4797.364807128906,0.955,True,4055040
4797.370529174805,0.938,True,4057088
4797.565078735352,0.959,True,4126720
4797.628021240234,0.99,True,4149248
4797.771072387695,0.99,True,4200448
4797.776794433594,0.99,True,4202496
4798.01139831543,0.949,True,4286464
4798.1201171875,0.919,True,4325376
4798.125839233398,0.96,True,4327424
4798.19450378418,0.978,True,4352000
4798.223114013672,0.909,True,4362240
4798.22883605957,0.953,True,4364288
4798.234558105469,0.944,True,4366336
4798.263168334961,0.941,True,4376576
4798.268890380859,0.96,True,4378624
4798.297500610352,0.94,True,4388864
4798.30322265625,0.951,True,4390912
4798.457717895508,0.978,True,4446208
4798.463439941406,0.947,True,4448256
4798.474884033203,0.959,True,4452352
4798.480606079102,0.914,True,4454400
4798.692321777344,0.96,True,4530176
4798.698043823242,0.959,True,4532224
4798.74382019043,0.954,True,4548608
4798.955535888672,0.928,True,4624384
4799.024200439453,0.974,True,4648960
4800.037002563477,0.944,True,5011456
4800.614929199219,0.963,True,5218304
4800.740814208984,0.962,True,5263360
4800.746536254883,0.973,True,5265408
4800.838088989258,0.987,True,5298176
4800.849533081055,0.9,True,5302272
4800.883865356445,0.926,True,5314560
4800.963973999023,0.932,True,5343232
4800.969696044922,0.941,True,5345280
4800.998306274414,0.952,True,5355520
4801.026916503906,0.967,True,5365760
4801.032638549805,0.998,True,5367808
4801.044082641602,0.99,True,5371904
4801.152801513672,0.973,True,5410816
4801.181411743164,0.981,True,5421056
4801.192855834961,0.922,True,5425152
4801.23291015625,0.969,True,5439488
4801.375961303711,0.961,True,5490688
4801.433181762695,0.921,True,5511168
