freq_mhz,probability,is_eti,center_channel
8421.380996704102,0.435,False,2048
8421.375274658203,0.449,False,4096
8421.369552612305,0.444,False,6144
8421.363830566406,0.464,False,8192
8421.358108520508,0.432,False,10240
8421.35238647461,0.423,False,12288
8421.346664428711,0.436,False,14336
8421.340942382812,0.469,False,16384
8421.335220336914,0.482,False,18432
8421.329498291016,0.436,False,20480
8421.323776245117,0.426,False,22528
8421.318054199219,0.44,False,24576
8421.31233215332,0.437,False,26624
8421.306610107422,0.452,False,28672
8421.300888061523,0.431,False,30720
8421.295166015625,0.43,False,32768
8421.289443969727,0.46,False,34816
8421.283721923828,0.437,False,36864
8421.27799987793,0.435,False,38912
8421.272277832031,0.459,False,40960
8421.266555786133,0.464,False,43008
8421.260833740234,0.447,False,45056
8421.255111694336,0.442,False,47104
8421.249389648438,0.435,False,49152
8421.243667602539,0.411,False,51200
8421.23794555664,0.455,False,53248
8421.232223510742,0.444,False,55296
8421.226501464844,0.432,False,57344
8421.220779418945,0.429,False,59392
8421.215057373047,0.431,False,61440
8421.209335327148,0.442,False,63488
8421.20361328125,0.435,False,65536
8421.197891235352,0.437,False,67584
8421.192169189453,0.447,False,69632
8421.186447143555,0.433,False,71680
8421.180725097656,0.425,False,73728
8421.175003051758,0.445,False,75776
8421.16928100586,0.437,False,77824
8421.163558959961,0.444,False,79872
8421.157836914062,0.429,False,81920
8421.152114868164,0.446,False,83968
8421.146392822266,0.454,False,86016
8421.140670776367,0.448,False,88064
8421.134948730469,0.456,False,90112
8421.12922668457,0.434,False,92160
8421.123504638672,0.426,False,94208
8421.117782592773,0.442,False,96256
8421.112060546875,0.422,False,98304
8421.106338500977,0.421,False,100352
8421.100616455078,0.423,False,102400
8421.09489440918,0.442,False,104448
8421.089172363281,0.43,False,106496
8421.083450317383,0.422,False,108544
8421.077728271484,0.445,False,110592
8421.072006225586,0.425,False,112640
8421.066284179688,0.439,False,114688
8421.060562133789,0.445,False,116736
8421.05484008789,0.458,False,118784
8421.049118041992,0.441,False,120832
8421.043395996094,0.433,False,122880
8421.037673950195,0.451,False,124928
8421.031951904297,0.432,False,126976
8421.026229858398,0.431,False,129024
8421.0205078125,0.442,False,131072
8421.014785766602,0.421,False,133120
8421.009063720703,0.434,False,135168
8421.003341674805,0.447,False,137216
8420.997619628906,0.445,False,139264
8420.991897583008,0.433,False,141312
8420.98617553711,0.436,False,143360
8420.980453491211,0.434,False,145408
8420.974731445312,0.457,False,147456
8420.969009399414,0.425,False,149504
8420.963287353516,0.416,False,151552
8420.957565307617,0.435,False,153600
8420.951843261719,0.46,False,155648
8420.94612121582,0.437,False,157696
8420.940399169922,0.449,False,159744
8420.934677124023,0.449,False,161792
8420.928955078125,0.421,False,163840
8420.923233032227,0.418,False,165888
8420.917510986328,0.452,False,167936
8420.91178894043,0.426,False,169984
8420.906066894531,0.443,False,172032
8420.900344848633,0.445,False,174080
8420.894622802734,0.456,False,176128
8420.888900756836,0.437,False,178176
8420.883178710938,0.439,False,180224
8420.877456665039,0.449,False,182272
8420.87173461914,0.429,False,184320
8420.866012573242,0.446,False,186368
8420.860290527344,0.446,False,188416
8420.854568481445,0.458,False,190464
8420.848846435547,0.425,False,192512
8420.843124389648,0.428,False,194560
8420.83740234375,0.403,False,196608
8420.831680297852,0.444,False,198656
8420.825958251953,0.446,False,200704
8420.820236206055,0.431,False,202752
8420.814514160156,0.459,False,204800
8420.808792114258,0.458,False,206848
8420.80307006836,0.436,False,208896
8420.797348022461,0.436,False,210944
8420.791625976562,0.429,False,212992
8420.785903930664,0.433,False,215040
8420.780181884766,0.443,False,217088
8420.774459838867,0.442,False,219136
8420.768737792969,0.444,False,221184
8420.76301574707,0.41,False,223232
8420.757293701172,0.424,False,225280
8420.751571655273,0.423,False,227328
8420.745849609375,0.446,False,229376
8420.740127563477,0.442,False,231424
8420.734405517578,0.422,False,233472
8420.72868347168,0.457,False,235520
8420.722961425781,0.431,False,237568
8420.717239379883,0.439,False,239616
8420.711517333984,0.438,False,241664
8420.705795288086,0.433,False,243712
8420.700073242188,0.437,False,245760
8420.694351196289,0.458,False,247808
8420.68862915039,0.45,False,249856
8420.682907104492,0.439,False,251904
8420.677185058594,0.429,False,253952
8420.671463012695,0.43,False,256000
8420.665740966797,0.453,False,258048
8420.660018920898,0.413,False,260096
8420.648574829102,0.458,False,264192
8420.642852783203,0.432,False,266240
8420.637130737305,0.422,False,268288
8420.631408691406,0.444,False,270336
8420.625686645508,0.433,False,272384
8420.61996459961,0.459,False,274432
8420.614242553711,0.438,False,276480
8420.608520507812,0.433,False,278528
8420.602798461914,0.446,False,280576
8420.597076416016,0.468,False,282624
8420.591354370117,0.464,False,284672
8420.585632324219,0.452,False,286720
8420.57991027832,0.44,False,288768
8420.574188232422,0.46,False,290816
8420.568466186523,0.448,False,292864
8420.562744140625,0.451,False,294912
8420.557022094727,0.466,False,296960
8420.551300048828,0.466,False,299008
8420.54557800293,0.454,False,301056
8420.539855957031,0.432,False,303104
8420.534133911133,0.436,False,305152
8420.528411865234,0.443,False,307200
8420.522689819336,0.429,False,309248
8420.516967773438,0.417,False,311296
8420.511245727539,0.45,False,313344
8420.50552368164,0.449,False,315392
8420.499801635742,0.46,False,317440
8420.494079589844,0.429,False,319488
8420.488357543945,0.442,False,321536
8420.482635498047,0.43,False,323584
8420.476913452148,0.448,False,325632
8420.47119140625,0.434,False,327680
8420.465469360352,0.433,False,329728
8420.459747314453,0.427,False,331776
8420.454025268555,0.458,False,333824
8420.448303222656,0.447,False,335872
8420.442581176758,0.431,False,337920
8420.43685913086,0.417,False,339968
8420.431137084961,0.435,False,342016
8420.425415039062,0.467,False,344064
8420.419692993164,0.438,False,346112
8420.413970947266,0.44,False,348160
8420.408248901367,0.42,False,350208
8420.402526855469,0.432,False,352256
8420.39680480957,0.449,False,354304
8420.391082763672,0.447,False,356352
8420.385360717773,0.439,False,358400
8420.379638671875,0.46,False,360448
8420.373916625977,0.44,False,362496
8420.368194580078,0.442,False,364544
8420.36247253418,0.447,False,366592
8420.356750488281,0.446,False,368640
8420.351028442383,0.437,False,370688
8420.345306396484,0.423,False,372736
8420.339584350586,0.459,False,374784
8420.333862304688,0.45,False,376832
8420.328140258789,0.427,False,378880
8420.32241821289,0.458,False,380928
8420.316696166992,0.462,False,382976
8420.310974121094,0.434,False,385024
8420.305252075195,0.46,False,387072
8420.299530029297,0.414,False,389120
8420.293807983398,0.422,False,391168
8420.2880859375,0.427,False,393216
8420.282363891602,0.439,False,395264
8420.276641845703,0.444,False,397312
8420.270919799805,0.447,False,399360
8420.265197753906,0.417,False,401408
8420.259475708008,0.401,False,403456
8420.25375366211,0.429,False,405504
8420.248031616211,0.407,False,407552
8420.242309570312,0.421,False,409600
8420.236587524414,0.416,False,411648
8420.230865478516,0.433,False,413696
8420.225143432617,0.452,False,415744
8420.219421386719,0.466,False,417792
8420.21369934082,0.431,False,419840
8420.207977294922,0.448,False,421888
8420.202255249023,0.426,False,423936
8420.196533203125,0.434,False,425984
8420.190811157227,0.428,False,428032
8420.185089111328,0.418,False,430080
8420.17936706543,0.46,False,432128
8420.173645019531,0.406,False,434176
8420.167922973633,0.457,False,436224
8420.162200927734,0.422,False,438272
8420.156478881836,0.432,False,440320
8420.150756835938,0.449,False,442368
8420.145034790039,0.447,False,444416
8420.13931274414,0.448,False,446464
8420.133590698242,0.444,False,448512
8420.127868652344,0.418,False,450560
8420.122146606445,0.44,False,452608
8420.116424560547,0.442,False,454656
8420.110702514648,0.433,False,456704
8420.10498046875,0.408,False,458752
8420.099258422852,0.436,False,460800
8420.093536376953,0.449,False,462848
8420.087814331055,0.451,False,464896
8420.082092285156,0.446,False,466944
8420.076370239258,0.411,False,468992
8420.07064819336,0.441,False,471040
8420.064926147461,0.438,False,473088
8420.059204101562,0.445,False,475136
8420.053482055664,0.452,False,477184
8420.047760009766,0.457,False,479232
8420.042037963867,0.45,False,481280
8420.036315917969,0.423,False,483328
8420.03059387207,0.441,False,485376
8420.024871826172,0.448,False,487424
8420.019149780273,0.443,False,489472
8420.013427734375,0.456,False,491520
8420.007705688477,0.392,False,493568
8420.001983642578,0.43,False,495616
8419.99626159668,0.434,False,497664
8419.990539550781,0.429,False,499712
8419.984817504883,0.42,False,501760
8419.979095458984,0.434,False,503808
8419.973373413086,0.433,False,505856
8419.967651367188,0.467,False,507904
8419.961929321289,0.445,False,509952
8419.95620727539,0.447,False,512000
8419.950485229492,0.449,False,514048
8419.944763183594,0.436,False,516096
8419.939041137695,0.459,False,518144
8419.933319091797,0.432,False,520192
8419.927597045898,0.427,False,522240
8419.916152954102,0.636,False,526336
8419.910430908203,0.441,False,528384
8419.904708862305,0.445,False,530432
8419.898986816406,0.43,False,532480
8419.893264770508,0.448,False,534528
8419.88754272461,0.435,False,536576
8419.881820678711,0.421,False,538624
8419.876098632812,0.428,False,540672
