freq_mhz,probability,is_eti,center_channel
6762.505722045898,1.0,True,526336
6763.547134399414,0.979,True,899072
6764.714431762695,0.97,True,1316864
6765.435409545898,1.0,True,1574912
6765.584182739258,0.994,True,1628160
6765.732955932617,0.998,True,1681408
6765.744400024414,0.998,True,1685504
6768.365097045898,1.0,True,2623488
6771.294784545898,1.0,True,3672064
6773.331832885742,0.956,True,4401152
6773.514938354492,0.995,True,4466688
6773.549270629883,1.0,True,4478976
6774.224472045898,1.0,True,4720640
6774.613571166992,0.926,True,4859904
6774.773788452148,0.999,True,4917248
6774.853897094727,0.922,True,4945920
6774.899673461914,1.0,True,4962304
6774.934005737305,1.0,True,4974592
6774.979782104492,0.997,True,4990976
6775.002670288086,0.998,True,4999168
6775.037002563477,1.0,True,5011456
6775.071334838867,1.0,True,5023744
6775.082778930664,1.0,True,5027840
6776.67350769043,0.997,True,5597184
6777.154159545898,1.0,True,5769216
6779.717636108398,0.976,True,6686720
6780.083847045898,1.0,True,6817792
6781.148147583008,0.993,True,7198720
6781.216812133789,0.981,True,7223296
6781.354141235352,1.0,True,7272448
6781.365585327148,0.998,True,7276544
6783.013534545898,1.0,True,7866368
6784.718704223633,0.974,True,88064
6785.668563842773,0.998,True,428032
6785.943222045898,1.0,True,526336
6787.499618530273,0.998,True,1083392
6788.872909545898,1.0,True,1574912
6788.964462280273,0.997,True,1607680
6789.170455932617,1.0,True,1681408
6789.181900024414,1.0,True,1685504
6791.802597045898,1.0,True,2623488
6794.732284545898,1.0,True,3672064
6795.499038696289,1.0,True,3946496
6796.723556518555,0.998,True,4384768
6796.837997436523,0.966,True,4425728
6796.986770629883,1.0,True,4478976
6796.99821472168,0.998,True,4483072
6797.661972045898,1.0,True,4720640
6797.94807434082,0.935,True,4823040
6798.337173461914,1.0,True,4962304
6800.019454956055,0.996,True,5564416
6800.065231323242,0.991,True,5580800
6800.122451782227,1.0,True,5601280
6800.591659545898,1.0,True,5769216
6803.498458862305,0.998,True,6809600
6803.521347045898,1.0,True,6817792
6804.791641235352,1.0,True,7272448
6806.451034545898,1.0,True,7866368
6807.789993286133,1.0,True,8345600
6809.380722045898,1.0,True,526336
6811.49787902832,0.999,True,1284096
6812.058639526367,0.95,True,1484800
6812.104415893555,0.952,True,1501184
6812.127304077148,0.999,True,1509376
6812.310409545898,1.0,True,1574912
6812.401962280273,0.998,True,1607680
6812.436294555664,0.92,True,1619968
6812.459182739258,1.0,True,1628160
6812.585067749023,0.998,True,1673216
6812.607955932617,1.0,True,1681408
6812.619400024414,1.0,True,1685504
6812.630844116211,1.0,True,1689600
6812.642288208008,0.997,True,1693696
6812.653732299805,0.999,True,1697792
6812.665176391602,0.999,True,1701888
6812.710952758789,1.0,True,1718272
6812.722396850586,1.0,True,1722368
6815.240097045898,1.0,True,2623488
6818.169784545898,1.0,True,3672064
6818.844985961914,0.997,True,3913728
6820.206832885742,0.954,True,4401152
6820.424270629883,1.0,True,4478976
6820.43571472168,1.0,True,4483072
6821.099472045898,1.0,True,4720640
6821.877670288086,0.996,True,4999168
6824.029159545898,1.0,True,5769216
6825.070571899414,0.997,True,6141952
6826.958847045898,1.0,True,6817792
6828.023147583008,0.998,True,7198720
6828.091812133789,0.997,True,7223296
6828.229141235352,1.0,True,7272448
6828.240585327148,0.998,True,7276544
6829.888534545898,1.0,True,7866368
6829.911422729492,1.0,True,7874560
6832.818222045898,1.0,True,526336
6835.049819946289,0.942,True,1325056
6835.747909545898,1.0,True,1574912
6836.045455932617,1.0,True,1681408
6836.056900024414,1.0,True,1685504
6837.407302856445,0.906,True,2168832
6837.533187866211,1.0,True,2213888
6838.677597045898,1.0,True,2623488
6840.966415405273,1.0,True,3442688
6841.607284545898,1.0,True,3672064
6843.712997436523,0.997,True,4425728
6843.861770629883,0.997,True,4478976
6843.87321472168,0.999,True,4483072
6844.536972045898,1.0,True,4720640
6844.720077514648,0.91,True,4786176
6847.466659545898,1.0,True,5769216
6849.938583374023,0.919,True,6653952
6850.396347045898,1.0,True,6817792
6850.545120239258,0.966,True,6871040
6850.705337524414,0.956,True,6928384
6850.86555480957,0.974,True,6985728
